A831-68205,多乐士竹炭清新居全效木器清漆底漆,15,27,10,1,0,1,10,8,100,4,30,16,10,30,8,150,52,1,23,30,1,1,45,0,80,14,1,30,1,1,5,10,1,20,0,21,60,25,839
A832-65203,多乐士竹炭清新居全效木器色漆,7,29,10,1,0,5,10,6,80,2,40,12,10,30,2,150,12,1,15,30,1,1,44,0,60,16,1,30,1,1,7,10,1,120,0,64,50,75,931
A832-65205,多乐士竹炭清新居全效木器色漆底漆,7,31,10,1,0,10,10,12,60,2,30,14,10,30,2,150,20,1,17,30,1,1,42,0,75,5,1,30,1,1,5,10,1,80,0,7,70,75,850
A812-68202,多乐士净味环保全效木器清漆面漆（半哑）,6,29,30,10,0,18,15,14,60,10,30,44,38,50,18,130,12,10,21,20,1,1,1,12,45,5,1,1,10,1,5,10,78,1,10,30,1,10,786
A812-68205,多乐士净味环保全效木器清漆底漆,6,28,30,10,0,35,15,16,80,10,30,49,36,30,16,130,16,6,8,20,1,1,1,3,60,5,1,1,10,1,5,10,16,1,10,30,1,10,736
A813-65203,多乐士净味环保全效木器色漆面漆（哑光）,6,26,30,10,0,18,15,28,60,8,40,51,38,30,6,130,22,7,32,20,1,1,1,1,55,5,1,1,10,1,4,10,61,1,10,110,1,10,859
A813-65205,多乐士净味环保全效木器色漆底漆,6,23,10,10,0,40,15,28,50,8,30,52,33,30,6,130,24,4,5,20,1,1,1,0,85,5,1,1,10,1,4,10,14,1,10,50,1,10,728
ICI0022,3寸羊毛刷,31,212,6,20,0,6,10,60,80,45,70,50,115,50,11,700,46,10,380,400,6,6,56,15,300,100,32,100,20,6,83,21,160,300,100,20,9,50,"3,686"
DULUX0032,4寸羊毛刷,40,72,100,25,1,28,25,50,80,25,60,60,107,150,20,700,56,25,450,300,25,25,58,6,401,200,27,110,25,40,81,26,240,200,80,25,25,35,"4,002"
ICI0021,通用滚筒数量,19,291,27,27,90,50,27,50,60,10,300,54,70,160,32,420,586,27,45,500,27,84,90,28,482,240,33,100,68,100,63,22,65,200,30,27,200,"1,300","6,001"
ICI0019,高级滚筒,90,92,30,20,0,80,20,30,50,25,110,60,70,25,9,210,16,10,36,300,2,132,60,13,203,96,31,60,8,2,39,5,116,20,40,10,120,30,"2,269"
ICI0017,专业滚筒,70,90,10,20,45,70,20,50,50,5,100,30,34,20,21,160,5,10,55,300,0,246,64,5,194,90,21,0,18,0,39,5,84,200,30,6,20,20,"2,209"
ICI0029,320目耐刷砂纸,1,34,2,20,0,2,20,2,50,12,40,160,100,20,7,"4,000",20,2,20,200,2,2,92,0,140,24,25,40,10,2,118,10,10,2,20,12,18,2,"5,241"
ICI0028,240目耐水砂纸,1,34,2,20,0,2,20,2,40,12,50,60,100,20,4,"4,000",10,2,30,200,2,2,58,8,245,24,23,50,10,2,131,10,12,2,20,12,18,2,"5,240"
ICI0031,砂架,3,35,4,20,0,20,10,4,40,10,60,20,20,24,16,160,20,4,80,150,4,4,44,5,120,48,18,50,8,4,64,11,17,4,8,7,12,10,"1,137"
ICI0032,24mm美纹纸,5,68,30,20,1,20,20,20,40,36,60,60,20,120,6,500,70,93,100,150,20,20,90,36,280,74,28,120,36,20,151,13,24,20,30,80,100,30,"2,611"
