872711,048107008598,GNC健安喜甲壳提取物片（原名甲壳素片）,120片,体重管理
281312,048107097295,GNC健安喜优骨力片,60片,骨骼关节
705712,048107062101,GNC健安喜番茄精华软胶囊,60粒,心脑血管
292912,048107088101,GNC健安喜胶原蛋白营养套装（原名润颜营养套装）,30天用量,容颜
191022,048107092610,GNC健安喜奶蓟精华胶囊（原名小蓟精华胶囊）,100粒,肝肠胃
286512,048107084356,GNC健安喜安尔多种营养套装(原名孕妇营养套装）,30天用量,孕妇营养
980564,048107115685,GNC健安喜高纯乳清蛋白粉（香草口味）,454g,基础营养
273112,048107094881,GNC健安喜氨基葡萄糖软骨精华片,60片,骨骼关节
488011,048107098537,GNC健安喜共轭亚油酸软胶囊,90粒,体重管理
183903,048107097158,GNC健安喜蓝莓万寿菊复合胶囊,60粒,眼部营养
251722,048107106553,GNC健安喜女性胶原蛋白营养片,180片,容颜
446706,094922481184,GNC红酒精华胶囊（125mg）,60粒,容颜
883411,048107089924,GNC健安喜浓缩鱼油红酒精华软胶囊,60粒,心脑血管
329311,048107096670,GNC健安喜女性每日营养便捷套餐,30袋,基础营养
748412,048107058388,GNC健安喜亮晶蓝莓复合营养片,60片,眼部营养
933354,048107074463,GNC健安喜多维复合营养粉（巧克力口味）,768g,体重管理
933355,048107074470,GNC健安喜多维复合营养粉（香草豆口味）,768g,体重管理
893133,048107043209,GNC健安喜浓缩鱼油软胶囊,120粒,心脑血管
446701,094922481207,GNC胶原蛋白复合胶囊,60粒,容颜
446702,094922481191,GNC红酒精华胶囊（250mg）,60粒,容颜
446703,094922486950,GNC红酒精华胶囊（500mg）,30粒,容颜
181011,048107074739,GNC健安喜葡萄籽浓缩精华胶囊100粒（美国原装进口） ,100粒,容颜
